"KEY","CODE","DESCRIPTION","TEXT","TITLE",
"materialDefinition","IfcMaterialDefinition","IfcMaterialDefinition is a general supertype for all material related information items in IFC that have common material related properties that may include association of material with some shape parameters or assignments to identified parts of a component.There are three ways of assigning materials to a single component or multiple components; they are characterized as:by layer - assigning a material to a layer with constant thickness
by profile - assigning a material to a profile with a constant of varying shape along an extrusion
by constituents - assigning a material to an identified part of a component shape; the identification is by a keyword rather than by a shape parameterEach instantiable subtype of IfcMaterialDefinition may have material properties assigned, or have an external classification of its definition. It can be assigned to either a subtype of IfcElement, or a subtype of IfcElementType by using the objectified relationship IfcRelAssociatesMaterial.HISTORY  New entity in IFC4","material definition","IfcMaterialDefinition",
"material","IfcMaterial","IfcMaterial is a homogeneous or inhomogeneous substance that can be used to form elements (physical products or their components).IfcMaterial is the basic entity for material designation and definition; this includes identification by name and classification (via reference to an external classification), as well as association of material properties (isotropic or anisotropic) defined by (subtypes of) IfcMaterialProperties. An instance of IfcMaterial may be associated to an element or element type using the IfcRelAssociatesMaterial relationship. The assignment might either be direct as a single material information, or viaa material layer set
a material profile set
a material constituent setAn IfcMaterial may also have presentation information associated. Such presentation information is provided by IfcMaterialDefinitionRepresentation, associating curve styles, hatching definitions or surface colouring/rendering information to a material.HISTORY New entity in IFC4","material","IfcMaterial",
"fireSuppressionTerminal","IfcFireSuppressionTerminal","A fire suppression terminal has the purpose of delivering a fluid (gas or liquid) that will suppress a fire.A fire suppression terminal provides for all forms of sprinkler, spreader and other form of terminal that is connected to a pipework system and intended to act in the role of suppressing a fire.HISTORY  New entity in IFC4{ .note}","fire suppression terminal","IfcFireSuppressionTerminal",
"interceptor","IfcInterceptor","An interceptor is a device designed and installed in order to separate and retain deleterious, hazardous or undesirable matter while permitting normal sewage or liquids to discharge into a collection system by gravity.HISTORY  New entity in IFC4{ .note}","interceptor","IfcInterceptor",
"sanitaryTerminal","IfcSanitaryTerminal","A sanitary terminal is a fixed appliance or terminal usually supplied with water and used for drinking, cleaning or foul water disposal or that is an item of equipment directly used with such an appliance or terminal.HISTORY  New entity in IFC4{ .note}","sanitary terminal","IfcSanitaryTerminal",
"stackTerminal","IfcStackTerminal","A stack terminal is placed at the top of a ventilating stack (such as to prevent ingress by birds or rainwater) or rainwater pipe (to act as a collector or hopper for discharge from guttering).HISTORY  New entity in IFC4{ .note}","stack terminal","IfcStackTerminal",
"wasteTerminal","IfcWasteTerminal","A waste terminal has the purpose of collecting or intercepting waste from one or more sanitary terminals or other fluid waste generating equipment and discharging it into a single waste/drainage system.A waste terminal provides for all forms of trap and waste point that collects discharge from a sanitary terminal and discharges it into a waste/drainage subsystem or that collects waste from several terminals and passes it into a single waste/drainage subsystem. This includes the P and S traps from soil sanitary terminals, sinks, and basins as well as floor wastes and gully traps that provide collection points.HISTORY  New entity in IFC4{ .note}","waste terminal","IfcWasteTerminal",
"conveyorSegment","IfcConveyorSegment","A conveyor segment defines an occurrence of a flow segment/ continuous run within a conveyor system that joins two sections of the system. these can utilise different carrying methods such as belt, rope, chain, screw etc.NOTE  Definition according to ISO6707-1: machine that continuously transports material or objects along a gentle slope using an endless belt, rope or chain, or rollers.","conveyor segment","IfcConveyorSegment",
"liquidTerminal","IfcLiquidTerminal","A liquid terminal is a terminating or origination point for the transfer of liquid between distribution system(s). this is the point where the liquid distribution system interacts with the external environment. An example of this is a loading arm for the transfer of liquid from a docked vessel.","liquid terminal","IfcLiquidTerminal",
"spatialElement","IfcSpatialElement","A spatial element is the generalization of all spatial elements that might be used to define a spatial structure or to define spatial zones.a hierarchical spatial structure element as IfcSpatialStructureElement
a spatial structure is a hiearchical decomposition of the project. That spatial structure is often used to provide a project structure to organize a building project.
A spatial project structure might define as many levels of decomposition as necessary for the building project. Elements within the spatial project structure are site, building, storey, and space or alternatively, site, bridge and bridge part


a spatial zone as IfcSpatialZone
a spatial zone is a non-hierarchical and potentially overlapping decomposition of the project under some functional consideration.
a spatial zone might be used to represent a thermal zone, a lighting zone, a usable area zone.
a spatial zone might be used to represent a horizontal spatial structure as used in civil works.
a spatial zone might have its independent placement and shape representation.HISTORY  New entity in IFC4.","spatial element","IfcSpatialElement",
"alignmentCant","IfcAlignmentCant","An IfcAlignmentCant is a lateral inclination profile defined along the horizontal alignment. All points defined in this profile have two coordinate values. The first value is the distance along the horizontal alignment, and the second value is the height relative to the projection of the point along vertical alignment.Cant as a railway specificityNOTE figure was first published in (Basics of) Railway Curve Kinematics Presentation, (Wojtczak 2018)The diagram in the figure above shows the principle of compensating part of the lateral acceleration by elevating the outer rail relative to the inner rail of a track.Almost always the following principles for the placement of horizontal segments and cant segments are implemented:Straight horizontal line: no applied cant
Horizontal circular arc: constant applied cant
Horizontal transition bend: variation of applied cant according to a defined formulaIn specific difficult topographic environments like mountain lines the extension of a cant transition may differ from the horizontal transition. So far this has only been found for clothoids and is either a so called shortened ramp (can transition is shorter than the corresponding horizontal curvature transition) or a so called “scissor” ramp (overlapping variations of cant on both rails with opposite direction).Application of high-performance horizontal transition bends is always combined with a cant transition with identical start and end location.In real world designs, such as slow speed sections in railway stations, exceptions to the above principles can be found. It might even happen that the inner rail is elevated relative to the outer rail.Detailed geometric modelling of the superelevation has a low priority in the existing processes in most rail companies. This will very probably change with the introduction of 3D modelling in rail design. The following list shows some use cases:Correct 3D placement of certain assets (e.g. sleepers)
Relevant input for calculation of structural gauge space
Correct calculation of horizontal coordinate values for the Viennese Bend® (high performance transition bend)","alignment cant","IfcAlignmentCant",
"alignmentHorizontal","IfcAlignmentHorizontal","An IfcAlignmentHorizontal is a linear reference projected onto the horizontal x/y plane. Points along a horizontal alignment have two coordinate values, x and y in the local Cartesian engineering system.The horizontal alignment is defined by segments that are connected end-to-start. The transition at the segment connection is not enforced to be tangential, if the “tangential continuity” flag is set to false, otherwise a tangential continuity shall be preserved. Based on the context of the project, they are geo-referenced and convertible into Northing and Easting values.NOTE  Georeferencing is provided by IfcMapConversion through the IfcGeometricRepresentationContext defined at IfcProject.","alignment horizontal","IfcAlignmentHorizontal",
"alignmentSegment","IfcAlignmentSegment","An IfcAlignmentSegment is a segment of an IfcAlignment where either the vertical or horizontal direction or cant (in the case of trackdesign) obey a unique mathematical description as a function of the horizontal projection segment length of the alignment.NOTE 1 to entry: Unless otherwise stated, for railway, the appertaining track alignment design parameters are defined for the track center line.
NOTE 2 to entry: For roads, the alignment typically describes the path of the road center line, but in certain situations, e.g. ramps, the alignment may describe the path of other edges of the road body.
NOTE Definition according to EN 13803:2017: Rail domain definitions.","alignment segment","IfcAlignmentSegment",
"alignmentVertical","IfcAlignmentVertical","An IfcAlignmentVertical is a height profile along the horizontal alignment. Points along a vertical alignment have two coordinate values. The first value is the distance along the horizontal alignment, the second value is the height according to the project engineering coordinate system. Based on the context of the project, they are georeferenced and the height value is convertible into orthogonal height above/below the vertical datum.NOTE  Georeferencing is provided by IfcCoordinateOperation through the IfcGeometricRepresentationContext defined at IfcProject.","alignment vertical","IfcAlignmentVertical",
"annotation","IfcAnnotation","An annotation is an information element within the geometric (and spatial) context of a project, that adds a note or meaning to the objects which constitutes the project model. Annotations include additional points, curves, text, dimensioning, hatching and other forms of graphical notes. It also includes virtual or symbolic representations of additional model components, not representing products or spatial structures, such as event elements, survey points, contour lines or similar.NOTE  Additional presentation information (often 2D) such as tag number or hatching, that is directly related to a particular product representation is included within the IfcProductDefinitionShape having various IfcShapeRepresentation's of the IfcElement (and its subtypes). Only those presentation information, that cannot be directly related to a single product, have to be wrapped within the IfcAnnotation.If available, the annotation should be related to the spatial context of the project, by containing the annotation within the appropriate level of the building structure (site, facility, facility part or building, storey, or space). This is handled by the IfcRelContainedInSpatialStructure relationship.The IfcAnnotation can provide specific 0D, 1D, and 2D geometric items as representation of the annotation, offering annotation point, curves, and surfaces. In addition to the predefined type values in IfcAnnotationTypeEnum, the following values can be used for the ObjectType (with PredefinedType attribute value USERDEFINED).Annotation point is an annotation provided by a point that has additional semantic. The inherited attribute ObjectType should be used to capture the type of point annotation, some suggested values are:

SurveyPoint: A single survey point represented by a Cartesian point. A property set may add the conditions (method, accuracy, etc. to the survey point).
SurveyArea: A set of survey points represented by Cartesian point. These coordinates are determined relative to the coordinates of a reference point, which acts as the datum for the survey. Properties attached apply equally to all points. The difference in elevation of the survey points enables terrain to be determined.



Annotation curve is an annotation provided by a curve that has additional semantic. The inherited attribute ObjectType should be used to capture the type of curve annotation, some suggested values are:

ContourLine: A line of constant elevation typically used on geographic maps where the spacing of lines at constant intervals of elevation may be used as an indication of slope.
IsoBar: A line of constant pressure typically used on weather maps or to show pressure gradient in spaces, chambers or externally.
IsoLux: A line of constant illumination typically used to show the distribution of illumination levels and/or day lighting in a space or externally.
IsoTherm: A line of constant temperature typically used to show the distribution and effect of heating or cooling within a space or to show temperature distribution on a geographic map.



Annotation surface: is an annotation provided by a surface that has additional semantic. The inherited attribute ObjectType should be used to capture the type of surface annotation, some suggested values are:

SurveyArea: A surface patch based on survey points.HISTORY  New entity in IFC2x2.","annotation","IfcAnnotation",
"bridge","IfcBridge","A Bridge is civil engineering works that affords passage to pedestrians, animals, vehicles, and services above obstacles or between two points at a height above ground.{ .extDef}NOTE  Definition from [ISO 6707-1:2014:
Civil engineering works that affords passage to pedestrians, animals, vehicles, and services above obstacles or between two points at a height above ground.","bridge","IfcBridge",
"bridgePart","IfcBridgePart","Part of a bridge.","bridge part","IfcBridgePart",
"building","IfcBuilding","A building represents a structure that provides shelter for its occupants or contents and stands in one place. The building is also used to provide a basic element within the spatial structure hierarchy for the components of a building project (together with site, storey, and space).NOTE  Definition from ISO 6707-1:
Construction work that has the provision of shelter for its occupants or contents as one of its main purpose and is normally designed to stand permanently in one place.A building is (if specified) associated to a site. A building may span over several connected or disconnected buildings. Therefore building complex provides for a collection of buildings included in a site. A building can also be decomposed in (vertical) parts, where each part defines a building section. This is defined by the composition type attribute of the supertype IfcSpatialStructureElements which is interpreted as follow:COMPLEX: building complex
ELEMENT: building
PARTIAL: building sectionThe IfcBuilding is used to build the spatial structure of a building (that serves as the primary project breakdown and is required to be hierarchical). The spatial structure elements are linked together by using the objectified relationship IfcRelAggregates. Figure 1 shows the IfcBuilding as part of the spatial structure. It also serves as the spatial container for building and other elements.NOTE  Detailed requirements on mandatory element containment and placement structure relationships are given in model view definitions.Figure 1 — Building compositionSystems, such as building service or electrical distribution systems, zonal systems, or structural analysis systems, relate to IfcBuilding by using the objectified relationship IfcRelServicesBuildings.Figure 2 describes the heights and elevations of the IfcBuilding. It is used to provide the height above sea level of the project height datum for this building, that is, the internal height 0.00. The height 0.00 is often used as a building internal reference height and equal to the floor finish level of the ground floor.total height of building, also referred to as ridge height (top of roof structure, e.g the ridge against terrain): provided by Qto_BuildingBaseQuantities with Name=""Height""
eaves height of building (base of roof structure, e.g the eaves against terrain): provided by Qto_BuildingBaseQuantities with Name=""EavesHeight""Figure 2 — Building elevationsHISTORY  New entity in IFC1.0.","building","IfcBuilding",
"spatialStructureElement","IfcSpatialStructureElement","A spatial structure element is the generalization of all spatial elements that might be used to define a spatial structure. That spatial structure is often used to provide a project structure to organize a building project.A spatial project structure might define as many levels of decomposition as necessary for the building project. Elements within the spatial project structure are:site as IfcSite

facility as IfcFacility, or specifically

building as IfcBuilding
bridge as IfcBridge
marine facility as IfcMarineFacility
railway as IfcRailway
road as IfcRoad



facility part as IfcFacilityPart, or specifically

storey as IfcBuildingStorey
facility part as IfcFacilityPart



space as IfcSpaceor aggregations or parts thereof. The composition type declares an element to be either an element itself, or an aggregation (complex) or a decomposition (part). The interpretation of these types is given at each subtype of IfcSpatialStructureElement.The IfcRelAggregates is defined as an 1-to-many relationship and used to establish the relationship between exactly two levels within the spatial project structure. Finally the highest level of the spatial structure is assigned to IfcProject using the IfcRelAggregates.The subtypes of IfcSpatialStructureElement relate to other elements and systems by establishing the following relationships:Containment of elements : IfcRelContainedInSpatialStructure by inverse attribute ContainsElements, used to assign any element, like building elements, MEP elements, etc. to the spatial structure element in which they are primarily contained.
Reference of elements : IfcRelReferencedInSpatialStructure by inverse attribute ReferencesElements, used to reference any element, like building elements, MEP elements, etc. in spatial structure elements, other then the one, where it is contained.
Reference of systems : IfcRelServicesBuildings by inverse attribute ServicedBySystems, used to reference a system, like a building service or electrical distribution system, a zonal system, or a structural analysis system, that is assigned to this spatial structure element.The subtypes of IfcSpatialStructureElement relate to each other by using the IfcRelAggregates relationship to build the project spatial structure. Figure 1 shows the use of IfcRelAggregates to establish a spatial structure including site, building, building section and storey. More information is provided at the level of the subtypes.HISTORY  New entity in IFC2x.{ .spec-head}
Informal Propositions:The spatial project structure, established by the IfcRelAggregates, shall be acyclic.
A site should not be (directly or indirectly) associated to a building, storey or space.
A building should not be (directly or indirectly) associated to a storey or space.
A storey should not be (directly or indirectly) associated to a space.","spatial structure element","IfcSpatialStructureElement",
"facility","IfcFacility","A Facility (derived from IfcSpatialStructureElement) may be an IfcBuilding, an IfcBridge, an IfcRailway, an IfcRoad, an IfcMarineFacility (or any other type of built facility defined in the future, such as IfcTunnel).","facility","IfcFacility",
"marineFacility","IfcMarineFacility","A marine facility represents any major structure or entity that is specific to the ports and waterways domain. examples of this include quays, jetties, shipyards, breakwaters etc.","marine facility","IfcMarineFacility",
"facilityPart","IfcFacilityPart","IfcFacilityPart provides for spatial breakdown of built facilities. It may be further specialised according to the type of facility being broken down.","facility part","IfcFacilityPart",
"marinePart","IfcMarinePart","Part of a marine facility.","marine part","IfcMarinePart",
"builtElement","IfcBuiltElement","The built element comprises all elements that are primarily part of the construction of a built facility, i.e., its structural and space separating system. Built elements are all physically existent and tangible things.This IfcBuiltElement is a generalization of all elements that are major functional parts of the structural or space separation system of a built facility. Typical examples of IfcBuiltElement's are (among others):built elements within a space separation systems
built elements within an enclosure system (such as a facade)
built elements within a fenestration system
built elements within a load bearing system
built elements within a foundation system
built elements within an infrastructure facilityEXAMPLE  built elements are curtain wall, doors, and others in case of buildings; walls, columns, pile, beams in case of buildings or infrastructure works, bearings in case of bridges, pavements in case of roads or rails in case of railways.The IfcBuiltElement can be instantiated in the case when arbitrary built elements cannot be expressed by a subtype of IfcBuiltElement.NOTE  The deprecated IfcBuildingElementProxy shall not be used to represent any arbitrary built element, use a direct instantiation of IfcBuiltElement instead.
HISTORY  New entity in IFC1.0
IFC4.3.0.0 CHANGE  The entity has been renamed from IfcBuildingElement and made non abstract.","built element","IfcBuiltElement",
"mooringDevice","IfcMooringDevice","A mooring device is an active or passive built element who's primary function is to participate in the mooring of a vessel, this could be in the form of a bollard used as an attachment point for lines or active equipment such as quick release hooks.","mooring device","IfcMooringDevice",
"navigationElement","IfcNavigationElement","A navigation element is an active or passive built element who's primary function is to provide navigational instructions and warnings to vessels, this could be in the form of a floating buoy, a fixed beacon.
Navigation elements can aggregate other components and elements to form the entire structure. this might include a frame structure to form the body, instances of IfcSign for signage or instances of IfcSignal for supplementary lights an/or sound signals.","navigation element","IfcNavigationElement",
"task","IfcTask","An IfcTask is an identifiable unit of work to be carried out in a construction project.A task is typically used to describe an activity for the construction or installation of products, but is not limited to these types. For example it might be used to describe design processes, move operations and other design, construction and operation related activities as well.Quantities of resources consumed by the task are dealt with by defining the IfcElementQuantity for the resource and not at the instance of IfcTask.HISTORY  New entity in IFC1.0. Renamed from IfcWorkTask in IFC2x.","task","IfcTask",
"workControl","IfcWorkControl","An IfcWorkControl is an abstract supertype which captures information that is common to both IfcWorkPlan and IfcWorkSchedule.HISTORY  New entity in IFC2x","work control","IfcWorkControl",
