"KEY","CODE","DESCRIPTION","TEXT","TITLE","DATATYPE","PROPERTYSET",
"airSideSystemDistributionType","AirSideSystemDistributionType","This enumeration defines the basic types of air side systems (e.g., SingleDuct, DualDuct, Multizone, etc.).","air side system distribution type","AirSideSystemDistributionType","String","Pset_AirSideSystemInformation",
"airSideSystemType","AirSideSystemType","This enumeration specifies the basic types of possible air side systems (e.g., Constant Volume, Variable Volume, etc.).","air side system type","AirSideSystemType","String","Pset_AirSideSystemInformation",
"applianceDiversity","ApplianceDiversity","Diversity of appliance load.","appliance diversity","ApplianceDiversity","Real","Pset_AirSideSystemInformation",
"coolingTemperatureDelta","CoolingTemperatureDelta","Cooling temperature difference for calculating space air flow rates.","cooling temperature delta","CoolingTemperatureDelta","Real","Pset_AirSideSystemInformation",
"energyGainSensible","EnergyGainSensible","The sum of total energy gains for the spaces served by the system during the peak cooling conditions, plus any system-level sensible energy gains.","energy gain sensible","EnergyGainSensible","Real","Pset_AirSideSystemInformation",
"energyGainTotal","EnergyGainTotal","The total amount of energy gains for the spaces served by the system during the peak cooling conditions, plus any system-level total energy gains.","energy gain total","EnergyGainTotal","Real","Pset_AirSideSystemInformation",
"energyLoss","EnergyLoss","The sum of energy losses for the spaces served by the system during the peak heating conditions.","energy loss","EnergyLoss","Real","Pset_AirSideSystemInformation",
"fanPower","FanPower","Fan motor loads contributing to the cooling load.","fan power","FanPower","Real","Pset_AirSideSystemInformation",
"heatingTemperatureDelta","HeatingTemperatureDelta","Heating temperature difference for calculating space air flow rates.","heating temperature delta","HeatingTemperatureDelta","Real","Pset_AirSideSystemInformation",
"infiltrationDiversitySummer","InfiltrationDiversitySummer","Diversity factor for Summer infiltration.","infiltration diversity summer","InfiltrationDiversitySummer","Real","Pset_AirSideSystemInformation",
"airFlowSensible","AirFlowSensible","https://github.com/buildingSMART/IFC4.3.x-development/edit/master/docs/properties/a/AirFlowSensible.md does not exist","air flow sensible","AirFlowSensible","Real","Pset_AirSideSystemInformation",
"infiltrationDiversityWinter","InfiltrationDiversityWinter","Diversity factor for Winter infiltration.","infiltration diversity winter","InfiltrationDiversityWinter","Real","Pset_AirSideSystemInformation",
"totalAirFlow","TotalAirFlow","https://github.com/buildingSMART/IFC4.3.x-development/edit/master/docs/properties/t/TotalAirFlow.md does not exist","total air flow","TotalAirFlow","Real","Pset_AirSideSystemInformation",
"ventilation","Ventilation","Required outside air ventilation.","ventilation","Ventilation","Real","Pset_AirSideSystemInformation",
"boundaryAreaHeatLoss","BoundaryAreaHeatLoss","Heat loss per unit area for the boundary object. This is a design input value for use in the absence of calculated load data.","boundary area heat loss","BoundaryAreaHeatLoss","Real","Pset_SpaceAirHandlingDimensioning",
"ceilingRaplenum","CeilingRAPlenum","Ceiling plenum used for return air or not. TRUE = Yes, FALSE = No.","ceiling raplenum","CeilingRAPlenum","Boolean","Pset_SpaceAirHandlingDimensioning",
"coolingDesignAirFlow","CoolingDesignAirFlow","The air flowrate required during the peak cooling conditions.","cooling design air flow","CoolingDesignAirFlow","Real","Pset_SpaceAirHandlingDimensioning",
"coolingDryBulb","CoolingDryBulb","Dry bulb temperature, usually for for cooling design.","cooling dry bulb","CoolingDryBulb","Real","Pset_SpaceAirHandlingDimensioning",
"coolingRelativeHumidity","CoolingRelativeHumidity","Inside relative humidity for cooling design.","cooling relative humidity","CoolingRelativeHumidity","Real","Pset_SpaceAirHandlingDimensioning",
"designAirFlow","DesignAirFlow","Design air flow rate for the space.","design air flow","DesignAirFlow","Real","Pset_SpaceAirHandlingDimensioning",
"heatingDesignAirFlow","HeatingDesignAirFlow","The air flowrate required during the peak heating conditions, but could also be determined by minimum ventilation requirement or minimum air change requirements.","heating design air flow","HeatingDesignAirFlow","Real","Pset_SpaceAirHandlingDimensioning",
"heatingDryBulb","HeatingDryBulb","Dry bulb temperature for heating design.","heating dry bulb","HeatingDryBulb","Real","Pset_SpaceAirHandlingDimensioning",
"heatingRelativeHumidity","HeatingRelativeHumidity","Inside relative humidity for heating design.","heating relative humidity","HeatingRelativeHumidity","Real","Pset_SpaceAirHandlingDimensioning",
"sensibleHeatGain","SensibleHeatGain","The  sensible heat or energy gained by the space during the peak conditions.","sensible heat gain","SensibleHeatGain","Real","Pset_SpaceAirHandlingDimensioning",
"totalHeatGain","TotalHeatGain","The total (sensible+latent) amount of heat or energy gained by the space at the time of the space's peak cooling conditions.","total heat gain","TotalHeatGain","Real","Pset_SpaceAirHandlingDimensioning",
"totalHeatLoss","TotalHeatLoss","The total amount of heat or energy lost by the space at the time of the space's peak heating conditions.","total heat loss","TotalHeatLoss","Real","Pset_SpaceAirHandlingDimensioning",
"ventilationDesignAirFlow","VentilationDesignAirFlow","Ventilation outside air requirement for the space.","ventilation design air flow","VentilationDesignAirFlow","Real","Pset_SpaceAirHandlingDimensioning",
"appliancePercentLoadToRadiant","AppliancePercentLoadToRadiant","Percent of sensible load to radiant heat.","appliance percent load to radiant","AppliancePercentLoadToRadiant","Real","Pset_ThermalLoad",
"lightingDiversity","LightingDiversity","Lighting diversity.","lighting diversity","LightingDiversity","Real","Pset_ThermalLoad",
"lightingLoadIntensity","LightingLoadIntensity","Average lighting load intensity in the space per unit area (PowerMeasure/IfcAreaMeasure).","lighting load intensity","LightingLoadIntensity","Real","Pset_ThermalLoad",
"lightingPercentLoadToReturnAir","LightingPercentLoadToReturnAir","Percent of lighting load to the return air plenum.","lighting percent load to return air","LightingPercentLoadToReturnAir","Real","Pset_ThermalLoad",
"options","Options","A statement of the options available in the agreement.","options","Options","String","Pset_PropertyAgreement",
"propertyName","PropertyName","Addressing details of the property as stated within the agreement.","property name","PropertyName","String","Pset_PropertyAgreement",
"restrictions","Restrictions","Restrictions that may be placed by a  competent authority.","restrictions","Restrictions","String","Pset_PropertyAgreement",
"terminationDate","TerminationDate","Date on which the agreement terminates.","termination date","TerminationDate","String","Pset_PropertyAgreement",
"loadSafetyFactor","LoadSafetyFactor","Load safety factor.","load safety factor","LoadSafetyFactor","Real","Pset_ThermalLoad",
"occupancyDiversity","OccupancyDiversity","Diversity factor that may be applied to the number of people in the space.","occupancy diversity","OccupancyDiversity","Real","Pset_ThermalLoad",
"outsideAirPerPerson","OutsideAirPerPerson","Design quantity of outside air to be provided per person in the space.","outside air per person","OutsideAirPerPerson","Real","Pset_ThermalLoad",
