"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"intersect","intersect","LRMl Editor - ",2023-03-09 20:48:51.582951000,"NZ_NZBC-E1AS1#1.10","intersect",361,
"asPer","asPer","In accordance with (usually for tabulated or illustrated data)",2020-10-05 06:46:00.000000000,"","as per",1,
"adjoin","adjoin","physically in contact with something",2020-01-30 12:02:00.000000000,"operator","adjoin",2,
"inBetween","inBetween","a value or something in between two other values or objects",2020-01-30 12:01:00.000000000,"operator","in between",3,
"lessThan","lessThan","a value is less than another value",2020-01-30 11:59:00.000000000,"operator","less than",4,
"greaterThanEqual","greaterThanEqual","a value is greater or equal than another value",2020-01-30 11:59:00.000000000,"operator","greater than equal",5,
"adjacent","adjacent","Spatial relation class: topology (i.e. contact). Often also involves aspects of proximity and orientation, just only strictly contact.",2020-01-29 07:04:00.000000000,"operator","adjacent",6,
"above","above","Spatial relation class: orientation",2020-01-29 07:03:00.000000000,"operator","above",7,
"below","below","Spatial relation class: orientation",2020-01-29 07:03:00.000000000,"operator","below",8,
"behind","behind","Spatial relation class: orientation",2020-01-29 07:03:00.000000000,"operator","behind",9,
"inFrontOf","inFrontOf","Spatial relation class: orientation",2020-01-29 07:03:00.000000000,"operator","in front of",10,
"is","is","Can refer to type hierarchy (ontology) ""A is a B"". Can also describe a condition that an object might satisfy, e.g. ""A is (next to) B"", ""A is red"" ...",2020-01-29 07:02:00.000000000,"operator","is",11,
"by","By","If interpreted spatially then synonym with ""adjacent""",2020-01-29 07:01:00.000000000,"","by",12,
"always","Always","Strictly a temporal quantifier, but often used to denote an axiom that every instance of an object satisfied, e.g. ""It must always be the case that ...""",2020-01-29 07:00:00.000000000,"","always",13,
"has","has","If interpreted spatially, spatial relation class is either mereology (part of) or topology (containment). Otherwise can refer to a property/feature that the object satisfies.",2020-01-29 06:58:00.000000000,"","has",14,
"connect","connect","connect an object with another object, e.g. an accessible route connects accessible units to service areas. Spatial relation class: topology.",2020-01-29 06:57:00.000000000,"","connect",15,
"partOf","part of","something is a part of another thing, e.g. an ancillary space is part of the main firecell, i.e. they have the same riskGroup. Spatial relation class: mereology.",2020-01-29 06:57:00.000000000,"","part of",16,
"for","for","",2019-09-24 04:32:00.000000000,"","for",17,
"exposedTo","Exposed To","",2019-09-05 04:06:00.000000000,"","exposed to",18,
"complyWith","Comply With","",2019-09-05 04:05:00.000000000,"","comply with",19,
"exclude","exclude","",2019-04-15 18:13:00.000000000,"operator","exclude",20,
"include","include","",2019-04-15 18:12:00.000000000,"operator","include",21,
"belongsTo","belongs to","mathematical operator - also called set membership",2019-04-12 19:12:00.000000000,"operator","belongs to",22,
"similarTo","similarTo","",2019-04-03 16:48:00.000000000,"operator","similar to",23,
"towards","in the direction of","",2019-03-31 23:48:00.000000000,"operator","towards",24,
"into","into","",2019-03-31 23:47:00.000000000,"operator","into",25,
"within","within","",2019-03-31 23:47:00.000000000,"operator","within",26,
"outside","outside","",2019-03-31 23:47:00.000000000,"operator","outside",27,
"exist","exist","",2019-03-31 21:03:00.000000000,"operator","exist",28,
"equal","equal","",2019-03-31 20:53:00.000000000,"operator","equal",29,
"after","after","",2019-03-31 20:29:00.000000000,"operator","after",30,
"before","before","",2019-03-31 20:29:00.000000000,"operator","before",31,
"awayFrom","awayFrom","to gain a separation distance",2019-03-31 19:51:00.000000000,"operator","away from",32,
"notEqual","notEqual","",2019-03-29 16:35:00.000000000,"operator","not equal",33,
"lessThanEqual","lessThanEqual","",2019-03-29 16:35:00.000000000,"operator","less than equal",34,
"greaterThan","greaterThan","",2019-03-29 16:35:00.000000000,"operator","greater than",35,
"screenedFrom","screenedFrom","LRMl Editor - Stefan",2023-02-27 22:55:14.321326000,"NZ_NZBC-G15AS1#2.7","screened from",261,
"accept","accept","LRMl Editor - Stefan",2023-02-23 00:50:06.495089000,"NZ_NZBC-G14AS1#2.6","accept",221,
"through","through","LRMl Editor - Stefan",2023-03-01 20:36:56.180820000,"NZ_NZBC-G12AS1#3.12","through",283,
"test1","test1","LRMl Editor - ",2023-02-13 02:26:19.898176000,"TEST","test 1",37,
"define","define","LRMl Editor - Stefan",2023-02-23 01:19:14.923394000,"NZ_NZBC-G4AS1#4.0","define",222,
"avoid","avoid","LRMl Editor - Stefan",2023-02-26 21:46:38.650500000,"NZ_NZBC-G14VM1#2.6","avoid",241,
"requires","requires","LRMl Editor - ",2023-03-03 21:05:46.958129000,"NZ_NZBC-G13AS1#2.7","requires",301,
"around","around","LRMl Editor - ",2023-03-01 00:07:22.144075000,"NZ_NZBC-G15AS1#2.7","around",281,
"on","on","LRMl Editor - Stefan",2023-03-01 20:47:27.867661000,"NZ_NZBC-G12AS2#3.12","on",284,
"against","against","LRMl Editor - Stefan",2023-03-06 21:37:54.503370000,"NZ_NZBC-B1AS1#0.17","against",341,
"cause","cause","LRMl Editor - Stefan",2023-02-23 02:38:45.230601000,"NZ_NZBC-G14VM1#2.6","cause",223,
"applyTo","applyTo","LRMl Editor - ",2023-03-01 01:27:50.362203000,"NZ_NZBC-G12AS1#3.12","apply to",282,
"prevent","prevent","LRMl Editor - Stefan",2023-03-05 03:01:16.275996000,"NZ_NZBC-G13AS2#2.7","prevent",321,
"approve","approve","LRMl Editor - Stefan",2023-03-05 08:11:13.763760000,"NZ_NZBC-G13AS2#2.7","approve",322,
"disconnect","disconnect","LRMl Editor - Stefan",2023-03-05 09:01:56.011970000,"NZ_NZBC-G13AS2#2.7","disconnect",323,
