"LRML_ID","TEXT","LRML","UPDATED_AT","ID","PARAPHRASE","COMMENTS","AUTHOR",
1,"1.2.2 Natural ventilation of occupied spaces must be achieved by providing a net openable area of windows or other openings to the outside of no less than 5% of the floor area.","if(and(greaterThan(count(space.occupantLoad), 0), greaterThan(count(wall.opening), 0), is(wall.isExternal, true), not(is(building.classifiedUse, and(commercial, industrial))))), then(obligation(greaterThanEqual(ventAreaToFloorArea.ratio, 0.05)))",2023-02-06 22:42:30.925974000,1,"","","",
2,"1.1.1 A fence erected to ensure security against unauthorised access to storage and treatment facilities shall comply with F5/AS1 Construction and Demolition Hazards.","if(and(or(and(is(facility.purpose, storage), is(storage.type, waste)), and(is(facility.purpose, treatment), is(treatment.type, waste))), is(waste.type, industrialLiquid), has(facility, securityFence))), then(and(obligation(complyWith(securityFence.construction, nzbc_f5as1)), obligation(complyWith(securityFence.demolition, nzbc_f5as1))))",2023-02-06 22:42:30.925974000,2,"","","",
3,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, the disposal system shall comply with Acceptable Solution G13/AS2.","if(and(is(system.purpose, disposal), is(disposal.type, waste), is(waste.type, industrialLiquid), not(for(waste.treatment, sewer)), is(disposal.method, discharge), to(discharge, sewer), has(disposal.method, approval), by(approval, networkUtilityOperator))), then(obligation(complyWith(system, nzbc_g13as2)))",2023-02-06 22:42:30.925974000,3,"","","",
4,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, that part of the discharge system used to convey the waste after treatment shall comply with Acceptable Solution G13/AS2.","if(and(permission(is(disposal.type, waste)), is(waste.type, industrialLiquid), for(waste.treatment, sewer), is(disposal.method, discharge), to(discharge, sewer), has(disposal.method, approval), by(approval, networkUtilityOperator), complyWith(system, nzbc_g13as2), is(system.component, postTreatment))), then(obligation(complyWith(system.component, nzbc_g13as2)))",2023-02-06 22:42:30.925974000,4,"","","",
5,"Calculations of fire resistance; The following parameters shall apply: a) Post-flashover species yield for soot is Ysoot = 0.14 kg/kgfuel b) Post-flashover species yield for CO is YCO = 0.40 kg/kgfuel, and c) Design FLEDs shall be as specified in Table 2.2 for activities within buildings.","if(is(fire.resistance, required)), then(and(obligation(equal(ysoot, 0.14 kg/kgFuel)), equal(yco, 0.4 kg/kgFuel), complyWith(fled, table), equal(table.key, t2.2)))",2023-02-06 22:42:30.925974000,5,"","","",
6,"1.4 Calculating occupant loads 1.4.1 The occupant load shall be determined from the risk group and number of people in each space of the building. The occupant load may need to be evaluated not only for each risk group but also for: a) A space or open floor area involving one or more activities, and b) A floor containing more than one risk group, and c) A single firecell, and d) Each floor within a firecell.","if(or(loop(in(forEach(buildingStorey), firecell), and(define(count(space.occupant), x0), define(space.riskGroup, x1), include(space, openFloorArea), greaterThan(count(space.activities), 1))), loop(in(forEach(space), firecell), and(define(count(space.occupant), x2), define(space.riskGroup, x3), include(space, openFloorArea), greaterThan(count(space.activities), 1))))), then(obligation(include(occupantLoad.calculation, and(x0, x2, x1, x3))))",2023-02-06 22:42:30.925974000,6,"","","",
7,"1.4.2 Occupant loads shall be calculated from the occupant densities given in Table 1.2 based on the floor area of the part of the building housing the activity. Table 1.2 Occupant densities; Activity; Occupancy density (m2/ person).","if(and(define(space.floorArea, x0), define(occupantLoadDensity, x1), obligation(asPer(x1, table)), obligation(equal(table.key, t1.2)))), then(obligation(equal(space.occupantLoad, 'x0 / x1')))",2023-02-06 22:42:30.925974000,7,"","","",
8,"1.4 Calculating occupant loads 1.4.3 Duplication shall be avoided by: a) Ensuring that, where people may be involved in more than one activity, they are counted only once.","if(and(has(space, occupant), in(occupant.involvement, activity), greaterThan(count(activity), 1))), then(and(obligation(include(occupantLoad.calculation, occupant)), is(occupant.instance, distinct)))",2023-02-06 22:42:30.925974000,8,"","","",
9,"1.4.4 Occupant load assessment shall take account of the actual arrangement and number of seats for fixed seating (see Paragraph 3.7.4). Where additional floor area abuts the fixed seating, additional occupants are permitted in that floor area based on standing space density (see Table 1.2), provided the escape route is not obstructed.","if(and(define(count(fixedSeating.seat), x0), adjoin(space, fixedSeating), has(space, occupant), define(space.occupantLoad, x1), not(is(escapeRoute, obstructed)))), then(and(obligation(is(space.activity, standing)), obligation(asPer(x1, table)), obligation(equal(table.key, t1.2)), obligation(equal(occupantLoad, 'x0 + x1'))))",2023-02-06 22:42:30.925974000,9,"","","",
10,"1.4.5 The requirements of this Acceptable Solution account for the fact that other people may be present in the building or firecell and additional calculations are not required when an occupant load is derived by bed spaces (i.e. for risk groups SM and SI). 1.4.6 For the purposes of risk group SI the term ‘bed’ means the number of people that are under care or detention. It can include people on: a) Beds, or b) Recliner or lounge chairs, or c) Dentist chairs, or d) Treatment tables, or e) Any other furniture where an occupant may be for a period of treatment, in care or detention.","if(and(or(is(space.activity, sleeping), is(space.riskGroup, or(sm, si))), define(count(bed), x0), include(bed, or(recliner, loungeChair, dentistChair, treatmentTable, treatmentFurniture)), is(x0, occupantLoad), for(x0, fireSafetyDesign), define(count(space.occupant), x1))), then(and(equal(space.occupantLoad, x0), obligation(not(is(x1, calculated)))))",2023-02-06 22:42:30.925974000,10,"","","",
11,"1.4.6 For the purposes of risk group SI the term 'bed' means the number of people that are under care or detention. It can include people on: a) Beds, or b) Recliner or lounge chairs, or c) Dentist chairs, or d) Treatment tables, or e) Any other furniture where an occupant may be for a period of treatment, in care or detention.","if(and(or(is(space.activity, sleeping), is(space.riskGroup, si)), define(count(bed), x0), include(bed, or(recliner, loungeChair, dentistChair, treatmentTable, treatmentFurniture)))), then(and(obligation(is(x0, occupantLoad)), for(x0, fireSafetyDesign)))",2023-02-06 22:42:30.925974000,11,"","","",
12,"1.4.7 If, in a particular situation, the occupant load derived from Table 1.2 is clearly more than that which will occur, the basis of any proposal for a lesser occupant load shall be substantiated to the building consent authority.","if(and(define(occupantLoadDensity, x0), asPer(x0, table), equal(table.key, t1.2), define(space.occupantLoad, x1), is(x1, or(actual, expected)), greaterThan(x0, x1), for(x1, fireSafetyDesign))), then(obligation(is(x1, justified)))",2023-02-06 22:42:30.925974000,12,"","","",
13,"1.4.8 If the maximum occupant load is greater than that calculated from Table 1.2, the higher number shall be used as the basis for the fire safety design and will need to be justified to the building consent authority.","if(and(define(occupantLoadDensity, x0), from(x0, table), equal(table.key, t1.2), define(space.occupantLoad, x1), is(x1, or(actual, expected)), greaterThan(x1, x0))), then(and(obligation(for(x1, fireSafetyDesign)), obligation(is(x1, justified))))",2023-02-06 22:42:30.925974000,13,"","","",
14,"2.1.1 The floor area of firecells shall be limited in accordance with Table 2.1.","if(is(space, firecell)), then(and(obligation(complyWith(firecell.floorArea, table)), obligation(equal(table.key, t2.1))))",2023-02-06 22:42:30.925974000,14,"","","",
15,"This Acceptable Solution is one of three Acceptable Solutions that provide a means of establishing compliance with NZBC Clauses C1 to C6 Protection from Fire. It can be used for the building activities covered by risk groups specified in Paragraph 1.1.1 and described in Table 1.1.","if(and(obligation(complyWith(building, or(nzbc_c1, nzbc_c2, nzbc_c3, nzbc_c5, nzbc_c6))), asPer(building.riskGroup, table), equal(table.key, t1.1), asPer(building.riskGroup, rule), equal(rule.key, 1.1.1))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,15,"","","",
16,"C1-C6 Protection from Fire; For risk group SH, please refer to Acceptable Solution C/AS1.","if(obligation(is(building.riskGroup, sh))), then(obligation(complyWith(building.fireProtection, nzbc_cas1)))",2023-02-06 22:42:30.925974000,16,"","","",
17,"C1-C6 Protection from Fire; For backcountry huts, please refer to Acceptable Solution BCH/AS1.","if(obligation(is(building.activity, backcountryHut))), then(obligation(complyWith(building.fireProtection, nzbc_bchas1)))",2023-02-06 22:42:30.925974000,17,"","","",
18,"1.1.1 The scope of this Acceptable Solution is restricted to all risk groups listed in Table 1.1 except for risk group SH (refer to C/AS1).","if(and(asPer(building.riskGroup, table), equal(table.key, t1.1), not(is(building.riskGroup, sh)))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,18,"","","",
19,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Sleep (SM).","if(or(is(building.activity, sleeping), equal(building.riskGroup, sm))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,19,"","","",
20,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Are unable to self-evacuate without assistance through requiring special care or treatment, or they are restrained, or their liberties are restricted (SI).","if(or(is(building.activity, or(care, detention)), equal(building.riskGroup, si))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,20,"","","",
21,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Congregate, participate in group activities or where professional services or retail are provided (CA).","if(or(is(building.activity, or(crowd, educational, personalService)), equal(building.riskGroup, ca))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,21,"","","",
22,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Work (WB - Business, professional services, industrial).","if(or(is(building.activity, or(business, professionalService, industrial)), equal(building.riskGroup, wb))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,22,"","","",
23,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Store goods and other materials (WS - Storage and trade service).","if(or(is(building.activity, or(storage, tradeService)), equal(building.riskGroup, ws))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,23,"","","",
24,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Park vehicles (VP).","if(or(is(building.activity, vehicleParking), equal(building.riskGroup, vp))), then(obligation(complyWith(building.fireProtection, nzbc_cas2)))",2023-02-06 22:42:30.925974000,24,"","","",
25,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for the building shall be that of the primary risk group.","if(and(greaterThan(count(building.activity), 1), loop(in(max(activity.riskGroup), building), define(riskGroup.stringency, x0)))), then(obligation(is(building.riskGroup, x0)))",2023-02-06 22:42:30.925974000,25,"","","",
26,"If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within a building shall be that of the primary risk group.","if(and(greaterThan(count(firecell.activity), 1), loop(in(max(activity.riskGroup), firecell), define(riskGroup.stringency, x0)))), then(obligation(is(firecell.riskGroup, x0)))",2023-02-06 22:42:30.925974000,26,"","","",
27,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular room within a building shall be that of the primary risk group.","if(and(greaterThan(count(space.activity), 1), loop(in(max(activity.riskGroup), space), define(riskGroup.stringency, x0)))), then(obligation(is(space.riskGroup, x0)))",2023-02-06 22:42:30.925974000,27,"","","",
28,"Other risk groups may be able to be incorporated within the same space provided these are ancillary to, and support, the primary risk groups.","if(and(is(space.activity, ancillary), partOf(space, firecell), is(firecell.riskGroup, primaryRiskGroup))), then(obligation(is(space.riskGroup, primaryRiskGroup)))",2023-02-06 22:42:30.925974000,28,"","","",
