"KEY","CODE","DESCRIPTION","TABLE_NAME","TEXT","TITLE",
"textualContent","Zz_20","","Zz CAD","textual content","Textual content",
"titleSheet","Zz_10","","Zz CAD","title sheet","Title sheet",
"drawingFrame","Zz_10_20","","Zz CAD","drawing frame","Drawing frame",
"logo","Zz_10_20_45","","Zz CAD","logo","Logo",
"viewports","Zz_10_20_95","","Zz CAD","viewports","Viewports",
"holdCloudsAndNotation","Zz_10_40","","Zz CAD","hold clouds and notation","Hold clouds and notation",
"revisions","Zz_10_70","","Zz CAD","revisions","Revisions",
"annotation","Zz_10_70_05","","Zz CAD","annotation","Annotation",
"blocksAndCells","Zz_10_70_10","","Zz CAD","blocks and cells","Blocks and cells",
"cloudsAndNotations","Zz_10_70_20","","Zz CAD","clouds and notations","Clouds and notations",
"statusStamps","Zz_10_80","","Zz CAD","status stamps","Status stamps",
"annotation","Zz_20_10","","Zz CAD","annotation","Annotation",
"keynotes","Zz_20_10_40","","Zz CAD","keynotes","Keynotes",
"labels","Zz_20_10_45","","Zz CAD","labels","Labels",
"leaders","Zz_20_10_50","","Zz CAD","leaders","Leaders",
"notes","Zz_20_10_55","","Zz CAD","notes","Notes",
"reference","Zz_20_10_70","","Zz CAD","reference","Reference",
"tags","Zz_20_10_85","","Zz CAD","tags","Tags",
"text","Zz_20_10_90","","Zz CAD","text","Text",
"dimensions","Zz_20_20","","Zz CAD","dimensions","Dimensions",
"generalMasking","Zz_20_30","","Zz CAD","general masking","General masking",
"masks","Zz_20_30_50","","Zz CAD","masks","Masks",
"wipeouts","Zz_20_30_95","","Zz CAD","wipeouts","Wipeouts",
"hatching","Zz_20_40","","Zz CAD","hatching","Hatching",
"areaFill","Zz_20_40_05","","Zz CAD","area fill","Area fill",
"hatchBoundaries","Zz_20_40_35","","Zz CAD","hatch boundaries","Hatch boundaries",
"pattern","Zz_20_40_60","","Zz CAD","pattern","Pattern",
"solidFill","Zz_20_40_80","","Zz CAD","solid fill","Solid fill",
"redlining","Zz_20_70","","Zz CAD","redlining","Redlining",
"comments","Zz_20_70_20","","Zz CAD","comments","Comments",
"symbols","Zz_20_80","","Zz CAD","symbols","Symbols",
"barscales","Zz_20_80_10","","Zz CAD","barscales","Barscales",
"crossReferences","Zz_20_80_15","","Zz CAD","cross references","Cross references",
"keyPlan","Zz_20_80_40","","Zz CAD","key plan","Key plan",
